batch,tree,likelihood,root_node,height,partition,operations_maximum,operations_optimized,ratio_of_savings,split_partitions
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND4L,210834,99477,52.81738239562878,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND4L,210834,88355,58.09262263202329,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND5,1255093,450611,64.09740154713634,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND5,1255093,404837,67.74446196417317,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND6,420767,159103,62.18738636822755,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND6,420767,141683,66.32744488042076,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,tRNAs,846940,232047,72.60171913004463,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,tRNAs,846940,207557,75.49330531088388,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,BRCA1,2442611,345750,85.84506497350581,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,BRCA1,2442611,314547,87.12250947858664,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,APOB,986595,142535,85.55283576340848,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,APOB,986595,127231,87.10402951565739,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,IRBP,838831,150292,82.08316097044577,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,IRBP,838831,134970,83.90975059338533,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ADRB2,367608,60556,83.5270179103828,1
