batch,tree,distance,sort
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.29,17650036,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.3,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.3,17120903,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.30,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.30,17653139,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.31,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.31,17653789,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.32,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.32,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.33,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.33,17650621,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.34,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.34,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.35,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.35,17109485,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.36,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.36,17652573,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.37,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.37,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.38,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.38,17108858,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.39,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.39,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.4,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.4,17109486,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.40,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.40,17119561,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.41,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.41,17650273,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.42,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.42,17653139,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.43,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.43,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.44,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.44,17120131,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.45,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.45,17653789,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.46,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.46,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.47,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.47,17650621,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.48,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.48,17108419,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.49,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.49,17108858,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.5,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.5,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.50,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.50,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.51,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.51,17119561,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.52,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.52,17650701,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.53,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.53,17109486,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.54,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.54,17653139,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.55,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.55,17120844,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.56,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.56,17652573,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.57,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.57,17650345,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.58,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.58,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.59,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.59,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.6,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.6,17119779,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.60,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.60,17650036,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.61,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.61,17654117,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.62,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.62,17119561,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.63,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.63,17650036,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.64,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.64,17119561,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.65,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.65,17650345,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.66,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.66,17119561,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.67,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.67,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.68,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.68,17120131,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.69,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.69,17654117,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.7,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.7,17120844,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.70,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.70,17109486,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.71,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.71,17650036,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.72,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.72,17652837,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.73,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.73,17108637,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.74,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.74,17650154,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.75,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.75,17650345,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.76,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.76,17650701,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.77,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.77,17108637,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.78,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.78,17120903,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.79,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.79,17653789,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.8,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.8,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.80,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.80,17654117,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.81,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.81,17121231,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.82,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.82,17109485,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.83,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.83,17108675,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.84,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.84,17109486,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.85,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.85,17652837,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.86,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.86,17119939,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.87,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.87,17653272,lxi
