tree,partition,operations_maximum,operations_optimized,ratio_of_savings,number_of_sites,number_of_taxa
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,16632,5390,67.5925925925926,44,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,16632,6023,63.78667628667629,44,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,17010,6536,61.57554379776602,45,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,17010,5462,67.88947677836566,45,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,17010,6092,64.18577307466197,45,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,17388,6568,62.226823096388316,46,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,17388,5535,68.16770186335404,46,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,17388,6160,64.573268921095,46,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,17766,6668,62.46763480806033,47,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,17766,5575,68.61983564111223,47,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,17766,6192,65.1469098277609,47,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,18144,6668,63.24955908289242,48,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,18144,5643,68.89880952380952,48,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,18144,6288,65.34391534391534,48,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,18522,6760,63.50286146204513,49,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,18522,5727,69.08001295756398,49,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,18522,6380,65.5544757585574,49,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,18900,6829,63.867724867724874,50,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,18900,5764,69.50264550264549,50,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,18900,6489,65.66666666666666,50,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,19278,6913,64.1404710032161,51,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,19278,5840,69.7064010789501,51,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,19278,6730,65.08973959954352,51,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,19656,6961,64.58587708587709,52,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,19656,5924,69.86161986161986,52,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,19656,6798,65.41514041514041,52,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,20034,7042,64.84975541579315,53,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,20034,6073,69.68653289408007,53,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,20034,6898,65.56853349306179,53,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,20412,7182,64.81481481481481,54,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,20412,6161,69.81677444640407,54,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,20412,7028,65.56927297668038,54,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,20790,7234,65.2044252044252,55,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,20790,6233,70.01924001924002,55,59
